,lat,lng
0,34.878323,-90.87448
1,39.238503,-110.28947
2,39.410694,-90.26419
3,39.408443,-93.4724
4,34.127254,-95.65324
5,36.037918,-88.383286
6,36.431522,-90.718925
7,37.184807,-98.02446
8,34.916927,-78.53097
9,37.584972,-82.87138
12,35.102047,-90.04374
13,39.26732,-86.26487
14,35.555813,-83.501945
17,40.71905,-84.68169
18,40.49584,-84.59794
20,53.03968,5.102679
21,32.77594,-82.57212
22,34.54189,-97.36713
24,41.324,-87.1573
26,37.602394,-81.20705
27,37.36272,-82.88286
28,38.3168,-94.35064
31,41.00844,-78.0525
33,43.73901,-94.119934
34,30.728897,31.082735
36,35.05633,-94.25295
38,48.60277,20.822319
39,39.608917,-87.92819
40,32.952248,-98.38869
41,39.08353,-94.561714
42,36.170246,-83.974525
44,41.678776,-70.56563
45,38.277565,-85.53601
46,37.033463,-89.06541
47,41.446304,-106.744835
48,39.928493,-78.80428
49,37.07543,-77.0729
50,39.434975,-84.5887
51,23.399418,-8.446961
54,34.69777,-79.92841
55,38.91703,-85.36088
56,38.157455,-78.03296
57,34.30928,-95.01181
58,34.28165,-84.5517
59,37.867302,-100.2417
60,52.00644,-9.183391
61,42.03379,-93.79326
62,36.03322,-83.54461
63,33.485638,-100.14883
64,39.558277,-77.450615
65,38.63419,-83.822426
66,45.214752,-62.402172
67,53.062443,-4.131108
68,33.4225,-99.668594
69,40.513115,-79.83423
70,35.392834,-89.30921
71,36.365417,-113.28795
72,35.31988,-95.49702
73,37.95482,-80.09636
75,39.77708,-77.23947
76,35.297573,-87.02211
77,35.5991,-88.45801
78,42.59376,-120.7085
81,39.423004,-111.30117
82,37.48274,-82.316124
83,37.587296,-82.36979
84,38.585823,-108.21021
85,34.80187,-89.730225
86,37.874847,-111.07805
88,39.64351,-89.81791
89,34.83312,-91.60708
91,36.75951,-90.34704
92,40.01555,-76.40325
93,42.450516,-90.211105
94,37.236126,-80.6733
95,37.96087,-84.90327
96,37.73421,-81.05695
99,40.354935,-74.723595
100,42.353004,-103.971436
102,37.265392,-84.367836
107,37.553795,-83.630516
109,39.17678,-89.75124
110,35.400093,-91.79003
111,39.26194,-84.465546
112,36.11054,-86.76508
113,40.100536,-76.12829
115,40.716873,-81.70673
116,34.22868,-93.74564
117,39.081043,-100.54837
119,37.874557,-81.22926
120,40.24106,-79.258606
122,36.564526,-87.95287
124,38.56946,-90.60832
126,33.519344,-95.48262
127,33.790657,-101.74514
128,27.360483,26.677795
129,38.604904,-78.067184
130,37.548588,-80.80096
131,37.752674,-81.62889
132,36.443733,-86.47889
133,40.290333,-86.180145
134,38.752605,-78.36767
135,39.63741,-74.77298
136,39.518444,-86.26468
138,38.9191,-90.390465
140,37.18953,-84.747925
142,30.481089,23.36911
143,32.574028,-92.46123
144,43.336586,-112.79573
145,36.262547,-82.98215
146,37.332832,-84.66973
147,39.608154,-75.201675
148,39.637802,-94.22973
149,39.92029,-88.08664
150,33.545273,-101.83723
151,39.493797,-87.8189
152,37.392582,-82.9493
155,41.38699,-102.31262
156,33.521786,-98.161354
157,35.75833,-96.541756
158,33.265812,-93.53843
159,37.592422,-84.91739
160,39.193954,-77.450516
161,43.257706,-114.546936
163,33.698357,-83.20221
164,33.45422,-96.046555
165,39.872868,-77.091194
166,35.258648,-89.48309
167,34.29373,-88.379456
168,-9.401897,16.858562
169,37.901928,-84.824486
170,39.72722,-75.741516
172,47.737133,-123.86696
174,34.648243,-95.33735
175,41.29382,-97.20182
176,34.82443,-107.31792
177,42.398296,-105.78122
178,36.23488,-96.11941
179,38.98812,-76.5469
181,54.799637,9.477618
182,36.22607,-76.29339
184,36.616543,-105.745476
185,38.31043,-77.09451
186,40.33857,-97.72057
187,36.009533,-88.25823
188,40.601707,-82.29286
189,35.817375,-90.61425
190,40.193283,-82.258446
194,36.29812,-89.979034
196,40.249187,-87.97005
197,38.048363,-102.56553
198,38.02133,-92.05668
200,30.455748,12.388512
201,40.083385,-87.26346
202,40.87519,-74.54141
203,37.43224,-83.12415
204,39.478764,-86.35983
205,54.71305,27.18129
207,33.982597,-103.333916
208,39.099075,-93.1877
209,34.30359,-82.24711
210,35.849747,-88.30888
211,40.84524,-73.1548
213,39.488617,-83.794846
214,43.873436,-65.53477
215,38.117123,-79.70091
216,36.982372,-85.49766
217,36.554165,-86.16663
221,34.41439,-94.43525
222,40.489315,-74.62605
223,39.236065,-86.52245
224,35.21007,-90.32422
225,38.711395,-77.70546
227,43.60632,-117.43701
228,38.41497,-87.8422
229,39.762447,-79.699135
230,38.26845,-78.36594
231,36.452324,-88.00321
232,33.697742,-94.70092
233,36.365784,-86.3243
234,22.588345,-81.3574
235,37.64648,-81.49504
236,38.11928,-96.68257
237,36.963287,-86.97407
240,41.05557,-72.67213
241,34.104824,-91.71302
242,41.76984,-87.72586
243,41.308945,-85.59403
244,34.350525,-104.55864
245,37.741802,-83.25539
246,39.442333,-84.20738
247,35.159695,-101.21115
249,36.263474,-89.59954
250,48.0029,-58.08357
253,35.275517,-88.28565
254,46.762672,-1.2458928
256,42.27462,-90.26657
257,37.376366,-82.81727
258,40.433258,-76.17175
259,44.38996,-113.33226
261,37.09309,-85.68823
265,42.029186,-111.63534
266,35.621365,-84.92015
267,37.475918,-82.27848
269,26.823523,-81.31687
270,39.892956,-74.2918
271,39.0719,-93.08962
272,35.07545,-89.52782
273,34.56262,-106.32942
274,38.097282,42.50028
275,39.887856,-75.681305
276,37.141,-86.23329
278,40.77847,-100.302284
279,40.44811,-75.45597
282,42.477,-114.589615
283,39.727707,-87.039986
284,42.14643,-98.48865
285,36.12696,-109.93575
286,43.708813,-113.05822
287,37.715034,-116.161125
288,34.384083,-88.51363
289,44.98898,-117.01171
290,36.095577,-108.5876
291,37.545994,-81.62267
292,42.20701,-91.41419
294,37.313435,-86.00263
295,31.86667,-92.451454
296,38.412655,-85.25599
298,37.541115,-86.591095
299,38.30986,-84.966385
302,39.042667,-82.12992
306,40.342667,-84.03201
307,41.943516,-90.43238
309,32.627136,-82.553734
310,41.67103,-90.759415
311,33.972054,-93.55442
312,34.74505,-90.934074
314,36.190186,-87.35792
316,35.83691,-80.43983
317,32.974754,-98.19066
319,37.12129,-86.22962
320,34.6293,-105.43056
324,34.145233,-103.56461
326,35.990154,-87.709305
327,33.83066,-94.13995
328,40.970592,-83.25244
331,37.352604,-98.68927
334,36.022694,-94.935425
336,40.967834,-89.19313
337,39.383312,-85.96401
338,39.588993,-94.82507
339,39.312885,-80.10134
340,35.691742,-89.33421
341,35.557236,-89.18426
342,41.1169,-86.78234
343,39.234146,-86.14185
344,38.484108,-79.51753
345,32.9652,-99.942276
346,36.05489,-94.82455
347,36.908157,-82.41624
349,38.37637,-85.11757
350,35.050396,-90.42984
351,39.834976,-104.2516
354,32.09215,-85.315445
356,38.932453,-78.45767
358,37.48364,-98.02346
359,40.166573,-82.50026
362,39.65147,-76.65205
365,45.671852,-61.927048
366,32.812965,-8.65783
368,36.96712,-83.16121
370,35.719658,-79.710266
371,43.95641,-94.89836
372,37.402435,-78.33455
374,37.41875,-104.02031
375,38.423775,-85.60542
376,36.08497,-85.68722
377,44.031223,-124.01169
378,41.64039,-92.483406
379,37.84665,-81.46302
380,34.89476,-91.957466
381,35.195564,-77.06155
382,37.760876,-82.15668
384,35.220806,-90.249435
385,34.281567,-97.04569
386,38.933357,-85.79915
387,38.164806,-80.89838
388,42.744827,-106.20174
389,37.623466,-84.140434
390,32.790543,-99.37209
391,38.27564,-87.010086
393,34.4769,-101.93647
395,34.081593,-95.84927
396,40.870186,-79.599724
397,45.406918,-110.88506
398,37.88763,-81.19139
399,44.567802,19.504887
400,40.0985,-91.01889
401,35.62913,-94.336525
402,38.898502,-78.33305
403,56.360104,34.708637
404,43.27202,-110.79334
405,38.1711,-89.60838
406,37.54677,-83.280334
407,35.687153,-88.42402
408,32.14297,-81.34573
411,37.602768,-82.94133
412,34.566353,-93.170105
413,38.328228,-85.03988
414,42.03328,-98.79451
415,37.41789,-83.78906
416,42.47494,-113.008865
417,43.480183,-117.27633
418,39.726643,-101.00042
419,5.2589817,-74.46133
420,41.2067,-86.24176
421,35.42807,-94.51759
429,37.7311,-82.799194
431,40.779037,-85.812645
432,39.17211,-106.94311
433,37.46654,-82.86497
434,38.73369,-75.68699
436,39.472908,-87.38627
440,36.967163,-99.13921
442,39.234653,-104.25238
443,41.617043,-89.710785
444,38.427326,-101.101715
446,39.504833,-76.461044
447,39.92968,-98.61291
448,33.59119,-96.91989
450,39.359398,-92.9839
451,48.678444,3.1909795
452,35.183475,-89.8661
454,37.19133,-105.79257
459,34.073486,-96.493774
460,38.445766,-92.5984
461,35.640827,-89.525314
464,37.824295,-84.29923
465,36.1932,-86.89553
467,44.10139,-110.58019
473,40.639084,-111.37987
474,37.7444,-81.65094
475,36.982094,-89.92776
476,36.50993,-87.68938
477,37.703453,-81.314026
478,40.201706,-78.57606
479,52.493187,-8.940623
480,38.897614,-90.22344
481,39.682636,-88.55752
482,39.69682,-3.3529587
483,37.42968,-82.969376
486,39.638054,-91.892494
487,38.40877,-85.34001
489,38.300346,-99.67958
492,50.518867,27.090952
495,34.789402,-90.76656
496,38.343693,-79.19956
497,41.351467,-91.562294
498,37.868713,-81.15954
499,38.8726,-80.60845
500,39.76937,-102.26257
503,39.313538,-75.79059
507,34.229393,-103.9241
509,38.246605,-83.3512
510,40.63781,-87.48835
511,35.808567,-89.68703
512,38.79823,-101.240875
513,37.584637,-100.21836
514,37.994,-84.42347
516,37.506596,-85.00645
517,33.856857,-103.6703
518,37.409775,-83.45286
519,40.868244,-95.941986
520,41.607475,-107.92533
521,37.500328,-92.82888
522,37.683197,-82.745346
524,34.955482,-100.06934
525,36.649433,-88.88779
526,38.11931,-81.70156
527,39.53909,-97.02069
529,45.941956,0.29401007
530,37.385666,-83.864586
531,37.975388,-108.675804
532,39.952633,-95.53001
534,37.926846,-80.27772
535,34.71214,-101.85678
537,30.407104,-83.98907
538,38.1339,-78.56578
539,34.506855,-4.647035
540,38.1117,-105.39192
541,37.859383,-99.50399
542,39.402943,-89.14188
543,39.78982,-86.7517
544,37.611305,-82.0734
545,36.23002,-80.91277
546,41.387486,-118.71129
549,39.081722,-82.72933
550,39.15028,-88.582886
552,38.92505,-81.44714
553,39.80047,-86.657295
555,43.90078,-103.73347
556,37.93127,-86.03177
557,39.725,-75.05973
558,36.530113,-86.10686
560,38.818676,-90.201294
562,37.503025,-81.73418
563,37.325245,-101.32472
564,35.735645,-88.14181
565,37.657745,-82.1235
567,37.428337,-81.89469
568,45.233284,-67.99428
569,42.03478,-118.57511
570,35.094357,-90.33098
571,38.799755,-90.962524
572,35.44533,-89.15982
573,52.80569,-4.265893
574,35.051945,-108.11572
575,38.91128,-116.56162
576,41.59836,-100.97019
578,38.906143,-103.57944
580,37.315945,-83.27242
581,39.638405,-93.95322
582,37.882935,-79.47855
585,39.80622,-85.59413
586,41.82829,-116.68659
588,42.96962,-122.28644
589,26.365221,-12.372871
590,41.535385,-118.06532
591,37.41815,-82.99078
593,32.290867,-92.889404
594,37.359432,-82.75838
596,37.27645,-82.28507
597,43.15381,11.114042
598,33.905518,-81.95777
599,39.8193,-94.8561
601,53.641354,36.83881
604,34.871407,-89.21656
605,40.058983,-84.65462
607,37.21995,-104.15036
608,38.884716,-86.38048
609,49.77054,52.259556
610,40.700764,-79.68541
611,38.558647,-101.58903
612,36.5058,-88.416245
613,37.543133,-87.13477
614,33.544155,-95.53865
618,36.70389,-86.33605
619,35.14223,-88.85712
621,38.242916,-79.86503
622,39.08269,-76.29685
623,36.367664,-86.41477
624,39.738953,-97.97641
625,38.520344,-97.04956
626,39.837204,-77.123955
628,37.623775,-82.000244
629,40.82911,-73.40926
630,39.022766,-89.77134
631,43.72484,-71.071976
632,40.97605,-74.23589
634,29.744736,-83.02858
635,35.051067,-91.08304
636,39.763805,-98.65006
637,39.046494,-89.84498
638,33.38322,-96.784584
639,22.901474,16.59541
641,37.582806,-82.99711
642,39.496517,-77.533936
643,38.520397,-85.51301
644,38.190388,-84.83788
645,35.838657,-97.07146
646,40.92394,-88.52898
647,38.386185,-79.36429
649,38.695076,-86.26076
650,44.51531,-114.297714
651,39.08048,-85.58544
652,40.708874,-96.05408
653,36.200356,-96.509315
654,34.536175,-85.532845
655,36.170876,-96.50049
656,40.284653,-99.6619
659,36.35229,-87.94087
660,37.923172,-84.91865
662,37.40927,-83.10081
663,36.15558,-87.80517
664,38.90699,-77.35015
665,30.309679,14.949686
667,-1.6508017,10.862064
668,38.30276,-79.52266
669,38.848186,-91.24166
670,40.884075,-74.24958
673,40.77161,-85.96204
676,36.36012,-86.39415
677,35.677822,-101.925835
678,19.83093,-4.92134
679,39.55157,-77.605354
680,38.859287,-89.71516
681,30.982584,-96.994354
682,34.673992,-91.19922
683,37.24404,-79.36405
684,38.92431,-84.89232
685,37.440422,-83.16668
686,38.1509,-89.34689
687,41.995335,-89.16174
688,38.782116,-85.72056
689,37.136696,-98.49295
690,35.509655,-88.932495
692,36.32559,-97.763794
693,39.00511,-77.36225
694,35.079727,-93.68743
695,37.080814,-82.5035
696,33.260696,-100.92528
698,33.902283,-98.498024
699,38.545452,-91.70329
700,42.727608,-98.357346
701,41.016663,-112.17412
702,28.702627,1.536478
704,41.92163,-89.86014
706,38.04705,-80.0857
707,40.30635,-85.24129
709,37.88746,-80.72639
710,35.058346,-90.48873
711,38.824272,-86.195305
713,39.863865,-108.39846
714,34.9495,-96.03471
715,38.22336,-84.664
716,38.478477,-99.473045
717,42.517746,2.5654287
718,39.05905,-98.031044
719,38.887177,-89.92141
720,36.514847,-105.710754
721,45.095192,21.065628
722,35.20267,-89.06053
723,40.21349,-103.70329
725,38.354225,-84.75911
726,36.62438,-90.64815
728,35.880245,-87.45485
730,35.836884,-89.02721
731,42.63996,-108.24676
732,37.854652,-84.10899
733,39.4828,-86.41067
734,36.490673,-82.96191
735,35.356274,-93.46436
736,33.29364,-102.28563
737,37.568836,-82.08575
739,44.309395,-116.24007
740,35.299316,-89.965225
741,36.832397,-105.75201
744,35.323154,-97.97984
745,38.692677,-85.85781
746,35.969093,-105.92949
747,42.25533,-116.3497
748,36.043865,-82.09973
749,36.45863,-93.887
750,39.154842,-78.11545
751,37.29766,-87.77682
753,43.670013,-114.908356
754,38.18679,-84.843704
755,37.917095,-81.36633
757,41.270313,-102.40905
758,35.231213,-107.69549
760,45.40903,-65.65701
761,44.27153,-99.37168
763,39.92666,-74.71461
764,37.15941,-83.93042
766,33.461006,-95.74492
767,39.516445,-85.627556
768,45.553726,-63.513466
769,37.460686,-92.94871
770,35.097466,-84.68591
772,37.973793,-108.75954
773,36.160355,-99.46486
775,37.44131,-84.41636
778,34.592422,-106.7275
779,5.040425,31.797287
780,38.327255,-89.94825
781,39.60619,-87.863
782,37.99131,-82.207214
785,34.42467,-103.83101
786,28.363811,64.60046
790,37.612984,-83.424805
791,39.48689,-87.6579
792,40.277695,-90.232025
794,37.35375,-83.52287
795,41.513905,-89.284004
797,35.894455,-85.74168
801,37.554016,-83.506546
802,40.005608,-82.34253
804,40.954605,-80.4779
805,37.92108,-85.90519
807,36.03467,-99.54319
808,36.366943,-84.70997
809,36.76338,-76.76847
810,36.870773,-98.26479
811,33.563953,-88.111374
812,33.12801,-99.28639
813,50.72884,6.828052
816,37.660057,-101.68332
818,36.384968,-98.29676
819,39.548138,-106.10238
820,38.883305,-104.275055
821,37.329716,-95.04029
825,37.614468,-84.28344
827,35.402794,-84.47299
828,31.129223,-85.71189
829,37.530506,-82.524284
831,38.104504,-91.066124
832,39.379253,-88.26459
833,40.599045,-88.331055
834,40.455673,-78.923775
835,35.64908,-89.398544
836,43.59612,-112.77965
837,35.81724,-79.7046
838,41.679436,-108.218475
840,35.32918,-89.80049
842,36.89603,-86.30135
845,38.724827,-77.17372
846,39.220375,-75.62691
847,39.878838,-86.77011
849,39.252213,-88.93524
851,39.61062,-104.85087
852,40.163155,-87.12198
853,45.63132,-116.883545
855,41.29665,-118.94461
857,38.887417,-77.32521
858,-3.7836764,-55.08736
859,39.702,-86.629364
860,34.755188,-95.36273
861,38.94744,-85.23067
863,37.68575,-81.09831
864,38.9354,-83.73595
865,37.379444,-83.05937
867,39.359665,-86.50386
